scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	line_count	player_screen_rect	walking_path_screen_rect	player_occlusion_ratio	walking_path_occlusion_ratio	failures	hierarchy	text
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	21.1	51.1	799.9	669.6	1150.1	720.6	14.5	ui-image:상태 HUD	0			2	x=-300.0,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 2   돌 1   식량 0   표류물 0/신호대 0/2   도끼 없음   밧줄 없음
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	17.7	25.3	953.1	49.7	1127.1	75.0	8.2	ui-image:언어 설정	0			1	x=-300.0,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	ui-info	PASS	21.1	53.4	171.6	36.5	812.0	90.0	18.1	ui-image:조작 안내	0			2	x=-300.0,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	게임패드 · 스틱 이동 · 해안 자동 수영 · A 점프 · X 수색 · B 귀환/교체 창 방향키+A (4칸) · B 포기 · Y 언어
ko day2 exploration	playmode-ko-day2-exploration-1280x800.png	world-info	PASS	20.8	50.0	523.5	491.4	671.5	541.5	18.4	world-badge:숲길 장벽 안내	0			2	x=-300.0,y=237.5,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/숲길 장벽 안내/안내 문구	돌도끼 필요/덩굴·나무 장벽
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-status	PASS	21.3	51.7	401.0	565.2	879.6	617.0	13.0	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	[ 설치 불가 ]/캠프의 호환 건설 구역 밖에는 놓을 수 없다.
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	placement-world	FAIL	4.4	4.4	282.1	379.1	286.8	383.4	10.7	world-badge:배치 판정	0			1	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	×
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	17.3	53.8	130.5	726.5	339.8	780.4	18.1	ui-image:상태 HUD	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/50 · 캠프 준비/허기 70 | 체력 100
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	21.0	51.1	784.0	669.6	1150.1	720.6	14.5	ui-image:상태 HUD	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 12   돌 11   식량 0   표류물 10/신호대 0/2   도끼 없음   밧줄 없음
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	17.7	25.3	938.7	49.7	1112.8	75.0	8.2	ui-image:언어 설정	0			1	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko placement invalid	playmode-ko-placement-invalid-1280x800.png	ui-info	PASS	21.2	81.6	298.7	23.3	655.6	104.9	18.1	ui-image:조작 안내	0			3	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	게임패드 · 왼쪽 스틱으로 위치 이동/A 확정 · B 취소/Y 언어
ko placement valid	playmode-ko-placement-valid-1280x800.png	placement-status	PASS	21.2	51.7	449.6	565.2	828.6	617.0	11.1	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	[ 설치 가능 ]/모닥불 배치 가능 · 0.5m 바닥 스냅
ko placement valid	playmode-ko-placement-valid-1280x800.png	placement-world	FAIL	7.4	7.4	529.9	378.3	536.8	385.7	8.8	world-badge:배치 판정	0			1	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0022	0.0000	height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	✓
ko placement valid	playmode-ko-placement-valid-1280x800.png	ui-info	PASS	17.3	53.8	130.5	726.5	339.8	780.4	18.1	ui-image:상태 HUD	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/50 · 캠프 준비/허기 70 | 체력 100
ko placement valid	playmode-ko-placement-valid-1280x800.png	ui-info	PASS	21.0	51.1	784.0	669.6	1150.1	720.6	14.5	ui-image:상태 HUD	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	나무 12   돌 11   식량 0   표류물 10/신호대 0/2   도끼 없음   밧줄 없음
ko placement valid	playmode-ko-placement-valid-1280x800.png	ui-info	PASS	17.7	25.3	938.7	49.7	1112.8	75.0	8.2	ui-image:언어 설정	0			1	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	한국어 → English
ko placement valid	playmode-ko-placement-valid-1280x800.png	ui-info	PASS	21.2	81.6	298.7	23.3	655.6	104.9	18.1	ui-image:조작 안내	0			3	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	게임패드 · 왼쪽 스틱으로 위치 이동/A 확정 · B 취소/Y 언어
qps-long placement valid	playmode-qps-long-placement-valid-1280x800.png	pseudo-long	PASS	17.1	52.2	352.8	562.3	927.2	614.5	11.1	ui-image:김씨 독백 · 배치 상태 · effect.comedy-feedback	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/김씨 독백 · 배치 상태 · effect.comedy-feedback/김씨 독백 또는 배치 상태	⟦⟦[ VALID ]áé⟧/⟦Plácé ⟦Cámpfíréá⟧ · 0.5m flóór sñápáéíóúüñ¿¡⟧á⟧
qps-long placement valid	playmode-qps-long-placement-valid-1280x800.png	pseudo-long	PASS	17.1	54.8	130.8	727.1	558.7	781.9	18.1	ui-image:상태 HUD	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	⟦DÁY 1/50 · ⟦Cámp prépárátíóñáéíóú⟧/Húñgér 70 | Éñérgy 100áéíóúüñ¿¡áéíóúüñ⟧
qps-long placement valid	playmode-qps-long-placement-valid-1280x800.png	pseudo-long	PASS	17.1	51.0	390.5	667.3	1149.9	718.4	14.5	ui-image:상태 HUD	0			2	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	⟦Wóód 12   Stóñé 11   Fóód 0   Sálvágé 10/Sígñál 0/2   Áxé ⟦Ñóñé⟧   Rópé ⟦Ñóñé⟧áéíóúüñ¿¡áéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
qps-long placement valid	playmode-qps-long-placement-valid-1280x800.png	pseudo-long	PASS	17.1	25.5	899.1	50.6	1152.4	76.2	8.2	ui-image:언어 설정	0			1	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	⟦Éñglísh → Kóréáñáéíóú⟧
qps-long placement valid	playmode-qps-long-placement-valid-1280x800.png	pseudo-long	PASS	17.0	78.2	285.0	22.4	667.1	100.6	18.1	ui-image:조작 안내	0			3	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0000	0.0000	none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	⟦⟦Gámépádá⟧ · Móvé wíth léft stíck/Á cóñfírm · B cáñcél/Y láñgúágéáéíóúüñ¿¡áéíóúüñ¿¡áéíóú⟧
qps-long placement valid	playmode-qps-long-placement-valid-1280x800.png	pseudo-long	FAIL	12.0	12.0	527.7	375.7	538.9	387.7	8.8	world-badge:배치 판정	0			1	x=468.0,y=235.4,w=130.7,h=174.2	x=0.0,y=183.1,w=1280.0,h=81.8	0.0059	0.0000	height	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/배치 유령 · object.camp-structures/배치 판정/안내 문구	✓
