scenario	screenshot	category	status	glyph_median_px	block_height_px	left_px	bottom_px	right_px	top_px	contrast_ratio	background	overflow	text_overlaps	ui_occlusions	failures	hierarchy	text
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	PASS	20.1	67.6	464.6	445.5	797.3	513.1	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Food/자원 안내/안내 문구	Swim to Search/Food ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	exploration-world	PASS	20.1	74.6	259.8	321.2	592.5	395.8	14.9	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Water Search · Salvage/자원 안내/안내 문구	Swim to Search/Salvage ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	45.3	1070.5	293.2	1172.3	338.5	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Wood ×2
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	22.9	1230.0	301.9	1342.9	324.7	12.1	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	22.9	1065.1	228.1	1177.6	251.0	12.1	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	22.8	1229.6	228.1	1342.9	250.9	12.1	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Empty
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	18.1	1059.5	159.0	1181.4	177.1	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. Locked
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.8	18.1	1224.7	159.0	1346.6	177.2	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. Locked
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	17.5	50.3	1069.0	483.8	1340.0	534.1	14.0	ui-image:가방 · icon.resource-tool-set	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 제목	Expedition Bag 4/6/Maximum 2 per stack
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	16.7	46.2	28.9	728.2	469.3	774.4	18.1	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/날짜·상태	DAY 1/3 · Swimming the shallows/Hunger 70 | Energy 94 | Daylight 100
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	16.7	46.2	795.8	674.1	1252.1	720.3	14.5	ui-image:상태 HUD	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/상태 HUD/보유 자원	Wood 2   Stone 1   Food 0   Salvage 0/Signal 0/2   Axe None   Rope None
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.8	21.5	1035.5	52.2	1249.8	73.6	8.2	ui-image:언어 설정	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/언어 설정/라벨	English → Korean
en day1 swimming	playmode-en-day1-swimming-1280x800.png	ui-info	PASS	12.8	47.6	92.7	39.2	868.4	86.8	18.1	ui-image:조작 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/조작 안내/조작	Gamepad · Stick move · Auto-swim · A jump · X search · B return/Replace: D-pad+A (4 slots) · B discard · Y language
en day1 swimming	playmode-en-day1-swimming-1280x800.png	world-info	PASS	21.7	22.4	901.8	614.6	908.6	636.9	1.4	screenshot-border-median	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/귀환 지점/라벨	CAMP
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	26.2	26.7	111.3	315.8	282.5	342.5	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Food/자원 안내/안내 문구	Food ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	20.1	34.1	685.0	426.1	923.2	460.2	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Salvage/자원 안내/안내 문구	Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	exploration-world	PASS	26.2	26.7	622.2	315.8	809.7	342.5	17.4	world-badge:자원 안내	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Runtime Placeholder World/Gather · Wood/자원 안내/안내 문구	Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.8	45.3	1070.5	293.2	1172.3	338.5	6.6	ui-image:가방 0	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 0/라벨	1. Wood ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	13.6	45.5	1218.9	293.2	1353.1	338.7	2.4	ui-image:가방 1	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 1/라벨	2. Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	13.6	45.5	1068.3	219.4	1173.5	264.9	3.8	ui-image:가방 2	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 2/라벨	3. Stone ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	13.6	45.5	1218.4	219.4	1353.1	264.9	2.4	ui-image:가방 3	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 3/라벨	4. Salvage ×2
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.8	18.1	1059.5	159.0	1181.4	177.1	17.7	ui-image:가방 4	0			none	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 4/라벨	5. Locked
en day2 exploration	playmode-en-day2-exploration-1280x800.png	ui-info	PASS	17.8	18.1	1224.7	159.0	1346.6	177.2	17.7	ui-image:가방 5	0			bounds	[BOOTSTRAP] 김씨 생존기: 무인도/Canvas · ui.survival-hud/가방 · icon.resource-tool-set/가방 5/라벨	6. Locked
